145mmx45mmx45mm 	
Scan Length = 118 mm	
measurement step = 0.2 mm	
x(mm)	Slope (urad)
-59	-6335.550624
-58.8	-6314.069136
-58.6	-6292.592496
-58.4	-6271.018896
-58.2	-6249.48408
-58	-6227.920176
-57.8	-6206.351424
-57.6	-6184.913568
-57.4	-6163.519344
-57.2	-6142.188144
-57	-6120.798768
-56.8	-6099.326976
-56.6	-6077.806704
-56.4	-6056.281584
-56.2	-6034.771008
-56	-6013.352544
-55.8	-5991.846816
-55.6	-5970.389568
-55.4	-5948.830512
-55.2	-5927.349024
-55	-5905.891776
-54.8	-5884.497552
-54.6	-5863.12272
-54.4	-5841.713952
-54.2	-5820.21792
-54	-5798.702496
-53.8	-5777.172528
-53.6	-5755.64256
-53.4	-5734.180464
-53.2	-5712.660192
-53	-5691.227184
-52.8	-5669.745696
-52.6	-5648.317536
-52.4	-5626.816656
-52.2	-5605.436976
-52	-5584.018512
-51.8	-5562.609744
-51.6	-5541.128256
-51.4	-5519.632224
-51.2	-5498.09256
-51	-5476.596528
-50.8	-5455.134432
-50.6	-5433.657792
-50.4	-5412.16176
-50.2	-5390.646336
-50	-5369.082432
-49.8	-5347.533072
-49.6	-5326.051584
-49.4	-5304.521616
-49.2	-5283.006192
-49	-5261.456832
-48.8	-5239.922016
-48.6	-5218.333872
-48.4	-5196.847536
-48.2	-5175.390288
-48	-5153.976672
-47.8	-5132.5776
-47.6	-5111.178528
-47.4	-5089.779456
-47.2	-5068.346448
-47	-5046.898896
-46.8	-5025.431952
-46.6	-5004.003792
-46.4	-4982.493216
-46.2	-4961.0796
-46	-4939.535088
-45.8	-4918.097232
-45.6	-4896.596352
-45.4	-4875.105168
-45.2	-4853.657616
-45	-4832.196974
-44.8	-4810.627738
-44.6	-4789.09583
-44.4	-4767.538229
-44.2	-4746.056256
-44	-4724.568466
-43.8	-4703.064192
-43.6	-4681.63991
-43.4	-4660.207387
-43.2	-4638.687115
-43	-4617.209021
-42.8	-4595.725594
-42.6	-4574.260589
-42.4	-4552.804795
-42.2	-4531.283554
-42	-4509.856363
-41.8	-4488.345302
-41.6	-4466.865269
-41.4	-4445.388629
-41.2	-4423.849934
-41	-4402.397534
-40.8	-4380.957739
-40.6	-4359.532488
-40.4	-4338.094147
-40.2	-4316.735314
-40	-4295.259158
-39.8	-4273.830998
-39.6	-4252.292304
-39.4	-4230.826814
-39.2	-4209.283757
-39	-4187.748456
-38.8	-4166.15401
-38.6	-4144.62792
