Dim : 120 X 50 X 15 mm3
Scan lenght : 100 mm
x(mm)	Slope(urad)
-50	8230.76255
-49	8231.94754
-48	8231.07471
-47	8230.72275
-46	8230.99207
-45	8231.70607
-44	8230.57668
-43	8230.41132
-42	8232.1499
-41	8231.52334
-40	8229.86752
-39	8231.74399
-38	8232.10884
-37	8231.06078
-36	8229.81918
-35	8232.04244
-34	8231.20442
-33	8230.56109
-32	8231.32651
-31	8231.44104
-30	8230.78092
-29	8231.20781
-28	8231.22674
-27	8231.19277
-26	8230.4548
-25	8231.50253
-24	8231.11214
-23	8230.57182
-22	8231.56363
-21	8231.35743
-20	8231.12248
-19	8230.98639
-18	8230.73525
-17	8231.00988
-16	8231.18991
-15	8231.54923
-14	8230.8477
-13	8230.78056
-12	8231.18223
-11	8230.53058
-10	8230.88239
-9	8231.02053
-8	8231.60169
-7	8231.04155
-6	8231.33761
-5	8231.50031
-4	8230.66047
-3	8230.69281
-2	8230.72737
-1	8230.78839
0	8231.05034
1	8231.11414
2	8231.44752
3	8231.12302
4	8231.20054
5	8230.21169
6	8230.82695
7	8230.82955
8	8231.37644
9	8230.63605
10	8230.90815
11	8231.40138
12	8232.07021
13	8230.54307
14	8231.3077
15	8230.6229
16	8230.63964
17	8231.33034
18	8230.36757
19	8230.85097
20	8231.50908
21	8232.26406
22	8229.37186
23	8231.02472
24	8232.69038
25	8230.70029
26	8230.09272
27	8231.3937
28	8231.33321
29	8230.01587
30	8230.91607
31	8231.15756
32	8230.18131
33	8231.57966
34	8232.34388
35	8229.55462
36	8230.59617
37	8231.36068
38	8230.80427
39	8231.01571
40	8231.15587
41	8231.42373
42	8231.20165
43	8230.54237
44	8231.58676
45	8231.13131
46	8230.06867
47	8230.55763
48	8231.28476
49	8230.58256
50	8230.41772
