X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
-221.34	5.58	-12.68	0.519608	0.669682
-220.32	6.11	-11.90	0.47549	0.624692
-219.30	6.55	-11.21	0.730392	0.878721
-218.28	7.60	-9.90	0.779412	0.926868
-217.26	8.14	-9.12	0.421569	0.568152
-216.24	8.46	-8.55	0.284314	0.430024
-215.22	8.72	-8.04	0.205882	0.35072
-214.20	8.88	-7.64	0.215686	0.359651
-213.18	9.16	-7.12	0.220588	0.363681
-212.16	9.33	-6.70	0.171569	0.313788
-211.14	9.51	-6.28	-0.0931373	0.0482096
-210.12	9.14	-6.41	-0.411765	-0.271291
-209.10	8.67	-6.64	-0.161765	-0.0221634
-208.08	8.81	-6.26	0.303922	0.44265
-207.06	9.29	-5.54	0.480392	0.618248
-206.04	9.79	-4.80	0.196078	0.333061
-205.02	9.69	-4.67	-0.0294118	0.106698
-204.00	9.73	-4.39	0.0980392	0.233277
-202.98	9.89	-4.00	0.20098	0.335345
-201.96	10.14	-3.52	0.0441176	0.17761
-200.94	9.98	-3.45	-0.0294118	0.103207
-199.92	10.08	-3.13	0.215686	0.347433
-198.90	10.42	-2.55	0.240196	0.37107
-197.88	10.57	-2.18	-0.0980392	0.0319616
-196.86	10.22	-2.31	-0.259804	-0.130676
-195.84	10.04	-2.26	-0.0882353	0.04002
-194.82	10.04	-2.04	-0.0588235	0.068559
-193.80	9.92	-1.94	-0.127451	-0.000941254
-192.78	9.78	-1.85	-0.0931373	0.0324997
-191.76	9.73	-1.69	-0.151961	-0.0271966
-190.74	9.47	-1.72	-0.205882	-0.0819909
-189.72	9.31	-1.67	-0.117647	0.00537158
-188.70	9.23	-1.53	-0.0882353	0.0339106
-187.68	9.13	-1.41	-0.205882	-0.0846093
-186.66	8.81	-1.52	-0.20098	-0.0805801
-185.64	8.72	-1.40	-0.176471	-0.056943
-184.62	8.45	-1.46	-0.137255	-0.0186001
-183.60	8.44	-1.25	0.0882353	0.206017
-182.58	8.63	-0.85	0.0147059	0.131615
-181.56	8.47	-0.81	-0.166667	-0.0506302
-180.54	8.29	-0.78	-0.0490196	0.0661441
-179.52	8.37	-0.50	0.00490196	0.119193
-178.50	8.30	-0.36	-0.0245098	0.0889083
-177.48	8.32	-0.13	0.0784314	0.190977
-176.46	8.46	0.20	0.181373	0.293045
-175.44	8.69	0.63	0.27451	0.38531
-174.42	9.02	1.17	0.0980392	0.207966
-173.40	8.89	1.24	-0.186275	-0.0772202
-172.38	8.64	1.19	-0.29902	-0.190838
-171.36	8.28	1.02	-0.186275	-0.0789658
-170.34	8.26	1.20	0.156863	0.263299
-169.32	8.60	1.73	0.245098	0.350661
-168.30	8.76	2.08	0.0833333	0.188024
-167.28	8.77	2.29	-0.0882353	0.0155823
-166.26	8.58	2.29	-0.0784314	0.0245135
-165.24	8.61	2.51	0.220588	0.32266
-164.22	9.03	3.12	0.303922	0.405121
-163.20	9.23	3.51	-0.00490196	0.0954246
-162.18	9.02	3.48	-0.230392	-0.130938
-161.16	8.76	3.40	-0.22549	-0.126909
-160.14	8.56	3.39	-0.210784	-0.113076
-159.12	8.33	3.34	-0.254902	-0.158067
-158.10	8.04	3.23	-0.387255	-0.291292
-157.08	7.54	2.92	-0.465686	-0.370596
-156.06	7.09	2.64	-0.171569	-0.0773515
-155.04	7.19	2.92	0.142157	0.235501
-154.02	7.38	3.28	0.0392157	0.131687
-153.00	7.27	3.35	-0.102941	-0.0113424
-151.98	7.17	3.42	-0.132353	-0.0416269
-150.96	7.00	3.42	-0.161765	-0.0719114
-149.94	6.84	3.44	0.0686275	0.157608
-148.92	7.14	3.91	0.313725	0.401833
-147.90	7.48	4.42	0.122549	0.209784
-146.88	7.39	4.49	-0.372549	-0.286187
-145.86	6.72	3.99	-0.495098	-0.409609
-144.84	6.38	3.83	-0.205882	-0.121266
-143.82	6.30	3.91	0.156863	0.240607
-142.80	6.70	4.47	0.215686	0.298557
-141.78	6.74	4.67	-0.112745	-0.0307468
-140.76	6.47	4.57	-0.122549	-0.0414235
-139.74	6.49	4.74	-0.0637255	0.0165273
-138.72	6.34	4.76	-0.20098	-0.1216
-137.70	6.08	4.65	-0.338235	-0.259728
-136.68	5.65	4.38	-0.308824	-0.231189
-135.66	5.45	4.33	-0.161765	-0.085003
-134.64	5.32	4.36	-0.161765	-0.0858758
-133.62	5.12	4.31	-0.137255	-0.0622388
-132.60	5.04	4.38	0.0637255	0.137869
-131.58	5.25	4.75	0.205882	0.279153
-130.56	5.46	5.11	0.142157	0.214555
-129.54	5.54	5.34	-0.0441176	0.0274074
-128.52	5.37	5.31	-0.137255	-0.0666026
-127.50	5.26	5.35	0.0392157	0.108995
-126.48	5.45	5.69	0.0196078	0.0885146
-125.46	5.30	5.68	-0.151961	-0.0839268
-124.44	5.14	5.66	0	0.0671612
-123.42	5.30	5.97	0.0637255	0.130014
-122.40	5.27	6.08	-0.102941	-0.0375255
-121.38	5.09	6.04	-0.166667	-0.102124
-120.36	4.93	6.01	-0.102941	-0.0392711
-119.34	4.88	6.10	0.00490196	0.0676993
-118.32	4.94	6.30	0.0588235	0.120748
