RoC (km)  slope error   rms (urad)  shape error   rms (nm)
PV (um)  PV-shape error (nm)
10450.12  0.437  10.854  5.995  52.842
x(mm)  slope error (urad)  height error (nm)  Height (um)  
-350  0.86  -31.439  5.74  
-349  0.761  -30.266  5.708  
-348  0.831  -29.251  5.675  
-347  0.817  -28.278  5.643  
-346  0.599  -27.408  5.611  
-345  0.329  -26.78  5.579  
-344  0.147  -26.371  5.547  
-343  0.185  -26.036  5.514  
-342  0.256  -25.654  5.482  
-341  0.238  -25.249  5.45  
-340  0.066  -24.936  5.418  
-339  -0.038  -24.756  5.386  
-338  -0.029  -24.626  5.354  
-337  -0.04  -24.5  5.322  
-336  -0.103  -24.411  5.29  
-335  -0.17  -24.385  5.258  
-334  -0.177  -24.395  5.226  
-333  -0.132  -24.388  5.195  
-332  -0.062  -24.325  5.163  
-331  -0.02  -24.205  5.132  
-330  0.096  -24.005  5.1  
-329  0.238  -23.68  5.069  
-328  0.335  -23.235  5.039  
-327  0.453  -22.682  5.008  
-326  0.594  -22.004  4.978  
-325  0.561  -21.274  4.948  
-324  0.441  -20.615  4.917  
-323  0.391  -20.041  4.887  
-322  0.335  -19.522  4.857  
-321  0.226  -19.083  4.827  
-320  0.252  -18.685  4.797  
-319  0.297  -18.256  4.767  
-318  0.256  -17.823  4.737  
-317  0.339  -17.368  4.707  
-316  0.393  -16.849  4.678  
-315  0.4  -16.299  4.648  
-314  0.393  -15.747  4.619  
-313  0.491  -15.149  4.59  
-312  0.591  -14.453  4.561  
-311  0.72  -13.642  4.532  
-310  0.926  -12.669  4.504  
-309  0.92  -11.598  4.475  
-308  0.883  -10.544  4.447  
-307  0.871  -9.517  4.419  
-306  0.766  -8.548  4.391  
-305  0.673  -7.676  4.362  
-304  0.626  -6.876  4.334  
-303  0.519  -6.154  4.306  
-302  0.433  -5.526  4.278  
-301  0.397  -4.959  4.25  
-300  0.36  -4.432  4.222  
-299  0.268  -3.97  4.194  
-298  0.158  -3.604  4.166  
-297  0.242  -3.249  4.138  
-296  0.408  -2.778  4.111  
-295  0.377  -2.241  4.083  
-294  0.384  -1.71  4.056  
-293  0.46  -1.144  4.028  
-292  0.322  -0.61  4.001  
-291  0.189  -0.206  3.974  
-290  0.137  0.103  3.946  
-289  -0.005  0.313  3.919  
-288  -0.16  0.377  3.892  
-287  -0.279  0.308  3.865  
-286  -0.222  0.21  3.837  
-285  -0.02  0.235  3.81  
-284  0.082  0.407  3.783  
-283  0.126  0.656  3.757  
-282  0.269  1.001  3.73  
-281  0.491  1.524  3.704  
-280  0.573  2.194  3.678  
-279  0.562  2.902  3.652  
-278  0.519  3.584  3.626  
-277  0.435  4.202  3.601  
-276  0.347  4.735  3.575  
-275  0.285  5.195  3.549  
-274  0.259  5.609  3.524  
-273  0.212  5.982  3.498  
-272  0.038  6.247  3.473  
-271  -0.042  6.39  3.447  
-270  0.009  6.516  3.421  
-269  0.025  6.669  3.396  
-268  -0.111  6.764  3.371  
