L(mm) 	R2 slope x 1E6 / urad
-298.8	-1.84530998
-297.6	-1.069036578
-296.4	-0.427232252
-295.2	0.080035872
-294	0.435839381
-292.8	0.602001688
-291.6	0.593387667
-290.4	0.438456007
-289.2	0.194515142
-288	-0.089757626
-286.8	-0.352186617
-285.6	-0.550554479
-284.4	-0.652438842
-283.2	-0.642453801
-282	-0.525091422
-280.8	-0.321341125
-279.6	-0.06933241
-278.4	0.192284763
-277.2	0.413884671
-276	0.564441863
-274.8	0.614886033
-273.6	0.565429979
-272.4	0.427350344
-271.2	0.241423749
-270	0.04240312
-268.8	-0.128828844
-267.6	-0.25425232
-266.4	-0.327629473
-265.2	-0.364515034
-264	-0.382862362
-262.8	-0.405292629
-261.6	-0.438993522
-260.4	-0.483736704
-259.2	-0.525164883
-258	-0.553312502
-256.8	-0.558484664
-255.6	-0.539273864
-254.4	-0.494692482
-253.2	-0.422345964
-252	-0.314698542
-250.8	-0.160786465
-249.6	0.051424935
-248.4	0.325318959
-247.2	0.650050614
-246	0.995742358
-244.8	1.321401218
-243.6	1.58078667
-242.4	1.748171208
-241.2	1.815557595
-240	1.794186858
-238.8	1.700242162
-237.6	1.539598172
-236.4	1.316274979
-235.2	1.035856524
-234	0.726732173
-232.8	0.425474784
-231.6	0.173992164
-230.4	-0.0152206
-229.2	-0.159296496
-228	-0.302940898
-226.8	-0.495534822
-225.6	-0.772644998
-224.4	-1.136572844
-223.2	-1.555782497
-222	-1.975152742
-220.8	-2.3376192
-219.6	-2.59596768
-218.4	-2.733830228
-217.2	-2.754749001
-216	-2.670698007
-214.8	-2.493461781
-213.6	-2.230232669
-212.4	-1.894602141
-211.2	-1.511589911
-210	-1.106233044
-208.8	-0.694246016
-207.6	-0.259060959
-206.4	0.215753134
-205.2	0.748217351
-204	1.290602552
-202.8	1.779032752
-201.6	2.094429023
-200.4	2.184459882
-199.2	2.024659237
-198	1.676361737
-196.8	1.198915755
-195.6	0.644980422
-194.4	0.032286494
-193.2	-0.627646456
-192	-1.250649345
-190.8	-1.744234119
-189.6	-1.962213929
-188.4	-1.883082346
-187.2	-1.548011854
-186	-1.122892488
-184.8	-0.739540726
-183.6	-0.499945819
-182.4	-0.392619668
-181.2	-0.357861646
-180	-0.329188323
-178.8	-0.273338092
-177.6	-0.205810567
-176.4	-0.152672546
-175.2	-0.14521064
-174	-0.185859193
-172.8	-0.268305539
-171.6	-0.370936978
-170.4	-0.480402565
-169.2	-0.584158725
-168	-0.672032246
-166.8	-0.731396554
-165.6	-0.737853068
-164.4	-0.669604214
-163.2	-0.505894045
-162	-0.245397152
-160.8	0.102285228
-159.6	0.508378207
-158.4	0.935120645
-157.2	1.337052676
-156	1.64872097
-154.8	1.825230305
-153.6	1.824475728
-152.4	1.665490658
-151.2	1.38842379
-150	1.082176053
-148.8	0.803516602
-147.6	0.601103463
-146.4	0.465792022
-145.2	0.37379004
-144	0.276733943
-142.8	0.144509763
-141.6	-0.048836459
-140.4	-0.296889776
-139.2	-0.580790464
-138	-0.843992215
-136.8	-1.039583831
-135.6	-1.111379903
-134.4	-1.059328458
-133.2	-0.905518575
-132	-0.736061112
-130.8	-0.611063024
-129.6	-0.590687772
-128.4	-0.652198605
-127.2	-0.751934127
-126	-0.791109435
-124.8	-0.719966352
-123.6	-0.506695802
-122.4	-0.203826678
-121.2	0.126064541
-120	0.387202936
-118.8	0.551219584
-117.6	0.621320896
-116.4	0.667894602
-115.2	0.748130104
-114	0.897567002
-112.8	1.086014931
-111.6	1.245421
-110.4	1.306374717
-109.2	1.22975605
-108	1.023422684
-106.8	0.721559101
-105.6	0.377116317
-104.4	0.049952885
-103.2	-0.211919103
-102	-0.356237429
-100.8	-0.366585461
-99.6	-0.240016284
-98.4	-0.011421116
-97.2	0.282380498
-96	0.583847392
-94.8	0.855545741
-93.6	1.065162614
-92.4	1.216441047
-91.2	1.324056521
-90	1.423676685
