optimization length 200mm
Filename	200mm-LB8wp11-d2.slp
initial	p (m)	q (m)	Theta (mrad)
	47	1.2	8.587
Slope errors optimization
	p (m)	q (m)	Theta (mrad)
	47	1.218	8.731
x(mm)	slp error(urad)	hgt error (nm)
-100	0.425	6.885
-99	0.302	7.265
-98	0.372	7.693
-97	0.494	8.202
-96	0.412	8.662
-95	0.31	9.041
-94	0.305	9.403
-93	0.314	9.749
-92	0.173	9.993
-91	0.104	10.162
-90	0.068	10.293
-89	0.036	10.394
-88	0.015	10.505
-87	0.173	10.72
-86	0.18	10.93
-85	-0.051	10.976
-84	-0.13	10.935
-83	-0.112	10.907
-82	-0.045	10.919
-81	-0.093	10.877
-80	-0.309	10.684
-79	-0.315	10.458
-78	-0.287	10.255
-77	-0.262	10.061
-76	-0.348	9.814
-75	-0.356	9.574
-74	-0.208	9.428
-73	-0.244	9.255
-72	-0.416	8.952
-71	-0.48	8.599
-70	-0.375	8.293
-69	-0.453	7.933
-68	-0.582	7.517
-67	-0.332	7.257
-66	-0.284	7.034
-65	-0.516	6.66
-64	-0.553	6.231
-63	-0.517	5.834
-62	-0.441	5.459
-61	-0.666	4.963
-60	-0.568	4.521
-59	-0.431	4.183
-58	-0.466	3.828
-57	-0.569	3.411
-56	-0.512	3.032
-55	-0.42	2.715
-54	-0.483	2.361
-53	-0.562	1.941
-52	-0.584	1.507
-51	-0.52	1.124
-50	-0.452	0.79
-49	-0.509	0.429
-48	-0.527	0.074
-47	-0.372	-0.188
-46	-0.426	-0.476
-45	-0.537	-0.821
-44	-0.39	-1.103
-43	-0.499	-1.459
-42	-0.671	-1.937
-41	-0.615	-2.42
-40	-0.709	-2.967
-39	-0.79	-3.554
-38	-0.621	-4.011
-37	-0.45	-4.33
-36	-0.486	-4.687
-35	-0.749	-5.261
-34	-0.982	-6.024
-33	-0.934	-6.768
-32	-0.79	-7.408
-31	-0.802	-8.002
-30	-0.628	-8.457
-29	-0.493	-8.809
-28	-0.609	-9.217
-27	-0.618	-9.633
-26	-0.529	-9.979
-25	-0.469	-10.273
-24	-0.501	-10.568
-23	-0.456	-10.806
-22	-0.264	-10.915
-21	-0.317	-10.991
-20	-0.118	-10.957
-19	-0.214	-10.963
-18	-0.279	-11.004
-17	-0.141	-10.933
-16	0.023	-10.756
-15	-0.142	-10.659
-14	-0.141	-10.588
-13	-0.145	-10.535
-12	-0.254	-10.606
-11	-0.572	-10.922
-10	-0.676	-11.304
-9	-0.348	-11.438
-8	-0.079	-11.382
-7	-0.358	-11.449
-6	-0.264	-11.456
-5	-0.016	-11.295
-4	-0.108	-11.141
-3	-0.036	-10.964
-2	-0.115	-10.827
-1	-0.12	-10.684
0	0	-10.485
1	-0.147	-10.388
2	-0.306	-10.424
3	-0.337	-10.516
4	-0.399	-10.642
5	-0.34	-10.714
6	-0.206	-10.691
7	-0.242	-10.671
8	-0.26	-10.626
9	-0.017	-10.444
10	-0.168	-10.338
11	-0.271	-10.251
12	0.162	-9.892
13	0.152	-9.529
14	-0.223	-9.461
15	-0.504	-9.612
16	-0.338	-9.705
17	-0.38	-9.833
18	-0.603	-10.111
19	-0.585	-10.375
20	-0.357	-10.456
21	-0.212	-10.427
22	-0.37	-10.478
23	-0.371	-10.536
24	-0.27	-10.515
25	-0.212	-10.42
26	-0.112	-10.248
27	-0.127	-10.037
28	0.06	-9.698
29	0.077	-9.321
30	0.03	-8.988
31	-0.067	-8.702
32	0.064	-8.318
33	0.217	-7.802
34	0.246	-7.228
35	0.311	-6.58
36	0.455	-5.851
37	0.285	-5.234
38	0.132	-4.763
39	0.024	-4.38
40	0.066	-3.968
41	0.173	-3.474
42	0.172	-2.973
43	0.105	-2.515
44	0.096	-2.105
45	-0.1	-1.833
46	-0.147	-1.614
47	-0.103	-1.371
48	-0.096	-1.103
49	-0.037	-0.783
50	0.018	-0.41
51	0.042	-0.037
52	-0.118	0.258
53	0.012	0.623
54	0.056	1.047
55	0.086	1.518
56	0.187	2.032
57	-0.001	2.425
58	-0.088	2.73
59	-0.1	3.035
60	0.022	3.429
61	0.066	3.887
62	0.138	4.41
63	0.184	4.969
64	0.124	5.484
65	0.036	5.95
66	0.143	6.494
67	0.261	7.125
68	0.181	7.688
69	-0.034	8.085
70	-0.11	8.39
71	-0.16	8.671
72	-0.04	9.047
73	0.083	9.502
74	-0.067	9.833
75	-0.352	9.951
76	-0.357	10.044
77	-0.216	10.229
78	-0.239	10.423
79	-0.251	10.615
80	-0.209	10.826
81	-0.258	11.013
82	-0.272	11.167
83	-0.377	11.236
84	-0.468	11.236
85	-0.43	11.246
86	-0.448	11.234
87	-0.558	11.132
88	-0.66	10.959
89	-0.586	10.846
90	-0.428	10.851
91	-0.449	10.857
92	-0.534	10.799
93	-0.565	10.693
94	-0.671	10.514
95	-0.663	10.3
96	-0.814	9.993
97	-0.794	9.668
98	-0.845	9.301
99	-0.936	8.875
100	-0.885	8.479
