mirror dimensions: 400mmx70mmx80mm 
Scan Length = 360 mm
measurement step = 1mm
x(mm)	Slope (urad)
-180.0000000	-0.3473210
-179.0000000	-0.3086515
-178.0000000	-0.4306749
-177.0000000	-0.4205911
-176.0000000	-0.3660997
-175.0000000	-0.3113003
-174.0000000	-0.3806926
-173.0000000	-0.4725764
-172.0000000	-0.5361511
-171.0000000	-0.4919167
-170.0000000	-0.4039726
-169.0000000	-0.3084186
-168.0000000	-0.1956543
-167.0000000	-0.2171795
-166.0000000	-0.4642936
-165.0000000	-0.6069966
-164.0000000	-0.5772880
-163.0000000	-0.3944674
-162.0000000	-0.3068346
-161.0000000	-0.4253892
-160.0000000	-0.6140309
-159.0000000	-0.6455593
-158.0000000	-0.5239742
-157.0000000	-0.3151752
-156.0000000	-0.2555619
-155.0000000	-0.5015341
-154.0000000	-0.7804914
-153.0000000	-0.7691334
-152.0000000	-0.4627599
-151.0000000	-0.4110705
-150.0000000	-0.5193648
-149.0000000	-0.5525426
-148.0000000	-0.5485036
-147.0000000	-0.5141473
-146.0000000	-0.5336735
-145.0000000	-0.5499817
-144.0000000	-0.4804718
-143.0000000	-0.4888433
-142.0000000	-0.4602960
-141.0000000	-0.3402294
-140.0000000	-0.4753433
-139.0000000	-0.5978374
-138.0000000	-0.5101113
-137.0000000	-0.3084646
-136.0000000	-0.3128971
-135.0000000	-0.5298083
-134.0000000	-0.6305981
-133.0000000	-0.5252660
-132.0000000	-0.3175117
-131.0000000	-0.3215350
-130.0000000	-0.4033353
-129.0000000	-0.4436125
-128.0000000	-0.4206662
-127.0000000	-0.2507961
-126.0000000	-0.1888017
-125.0000000	-0.3566829
-124.0000000	-0.5204393
-123.0000000	-0.5606704
-122.0000000	-0.6063761
-121.0000000	-0.5366560
-120.0000000	-0.4468097
-119.0000000	-0.4212369
-118.0000000	-0.4517373
-117.0000000	-0.5534106
-116.0000000	-0.5867564
-115.0000000	-0.5945743
-114.0000000	-0.4905641
-113.0000000	-0.5453255
-112.0000000	-0.5869580
-111.0000000	-0.5072614
-110.0000000	-0.4506354
-109.0000000	-0.4813795
-108.0000000	-0.5944935
-107.0000000	-0.5499771
-106.0000000	-0.3779298
-105.0000000	-0.2365515
-104.0000000	-0.3201417
-103.0000000	-0.5073001
-102.0000000	-0.6352263
-101.0000000	-0.6407202
-100.0000000	-0.5658812
-99.0000000	-0.4196423
-98.0000000	-0.3471361
-97.0000000	-0.4098624
-96.0000000	-0.5842208
-95.0000000	-0.5345110
-94.0000000	-0.4223327
-93.0000000	-0.2999854
-92.0000000	-0.3509690
-91.0000000	-0.5177830
-90.0000000	-0.4859271
-89.0000000	-0.3124011
-88.0000000	-0.2011045
-87.0000000	-0.4049370
-86.0000000	-0.5869984
-85.0000000	-0.5610882
-84.0000000	-0.3397062
-83.0000000	-0.1973519
-82.0000000	-0.2679252
-81.0000000	-0.3670256
-80.0000000	-0.4426528
-79.0000000	-0.4371065
-78.0000000	-0.4035864
-77.0000000	-0.2504921
-76.0000000	-0.2311232
-75.0000000	-0.3729796
-74.0000000	-0.3833608
-73.0000000	-0.2513664
-72.0000000	-0.1672963
-71.0000000	-0.2222500
-70.0000000	-0.2803272
-69.0000000	-0.3234275
-68.0000000	-0.4136507
-67.0000000	-0.3394965
-66.0000000	-0.3173644
-65.0000000	-0.3994541
-64.0000000	-0.4265654
-63.0000000	-0.3912979
-62.0000000	-0.3256512
-61.0000000	-0.2379251
-60.0000000	-0.3000192
-59.0000000	-0.3647331
-58.0000000	-0.2716665
-57.0000000	-0.3016192
-56.0000000	-0.2598907
-55.0000000	-0.1779808
-54.0000000	-0.2202891
-53.0000000	-0.2797152
-52.0000000	-0.2528589
-51.0000000	-0.2891198
-50.0000000	-0.2985977
-49.0000000	-0.2106920
-48.0000000	-0.1776026
-47.0000000	-0.1925291
-46.0000000	-0.2235711
-45.0000000	-0.2227284
-44.0000000	-0.2891005
-43.0000000	-0.3282873
-42.0000000	-0.3380883
-41.0000000	-0.3654032
-40.0000000	-0.3232316
-39.0000000	-0.2274733
-38.0000000	-0.1641279
-37.0000000	-0.1154951
-36.0000000	-0.1127745
-35.0000000	-0.1948659
-34.0000000	-0.1823688
-33.0000000	-0.2002831
-32.0000000	-0.1686082
-31.0000000	-0.0936439
-30.0000000	-0.1460899
-29.0000000	-0.2019458
-28.0000000	-0.2587113
-27.0000000	-0.3091861
-26.0000000	-0.2228699
-25.0000000	-0.1706622
-24.0000000	-0.1880628
-23.0000000	-0.1097714
-22.0000000	-0.0569876
-21.0000000	-0.0825110
-20.0000000	-0.0987415
-19.0000000	-0.1166785
-18.0000000	-0.1261218
-17.0000000	-0.1217711
-16.0000000	-0.0870260
-15.0000000	-0.1150862
-14.0000000	-0.1362514
-13.0000000	-0.1224212
-12.0000000	-0.0554954
-11.0000000	0.0512266
-10.0000000	0.0545448
-9.0000000	0.0402598
-8.0000000	0.0356717
-7.0000000	0.0054811
-6.0000000	-0.0993119
-5.0000000	-0.1288069
-4.0000000	-0.0450035
-3.0000000	0.0028985
-2.0000000	-0.0005004
-1.0000000	-0.0226001
0.0000000	-0.0319000
1.0000000	0.0492001
2.0000000	0.1251004
3.0000000	0.0837015
4.0000000	0.0355035
5.0000000	0.0444069
6.0000000	0.0721119
7.0000000	0.0614189
8.0000000	0.0320283
9.0000000	0.0124402
10.0000000	-0.0031448
11.0000000	0.0122734
12.0000000	-0.0062046
13.0000000	0.0762212
14.0000000	0.1045514
15.0000000	0.1382862
16.0000000	0.1322260
17.0000000	0.1499711
18.0000000	0.1615218
19.0000000	0.1622785
20.0000000	0.2389414
21.0000000	0.2562110
22.0000000	0.2095876
23.0000000	0.1920714
24.0000000	0.1445628
25.0000000	0.1368622
26.0000000	0.1949699
27.0000000	0.2724861
28.0000000	0.3570113
29.0000000	0.3805458
30.0000000	0.3250899
31.0000000	0.2900439
32.0000000	0.2758082
33.0000000	0.2790830
34.0000000	0.2902688
35.0000000	0.2585659
36.0000000	0.2298745
37.0000000	0.2667951
38.0000000	0.3316279
39.0000000	0.3639733
40.0000000	0.3290316
41.0000000	0.3389031
42.0000000	0.3226883
43.0000000	0.2747873
44.0000000	0.2940006
45.0000000	0.3555284
46.0000000	0.4268711
47.0000000	0.4160291
48.0000000	0.3566026
49.0000000	0.3471920
50.0000000	0.3232976
51.0000000	0.2491198
52.0000000	0.2375589
53.0000000	0.3184152
54.0000000	0.3570891
55.0000000	0.3545808
56.0000000	0.3233907
57.0000000	0.3675192
58.0000000	0.4070665
