Dim : 460 X 50 X 50 mm
Scan lenght : 429.5 mm
x(mm)	Slope (urad)
12.5	-4914.0697
12.75	-4908.22005
13	-4902.35501
13.25	-4896.50194
13.5	-4890.66445
13.75	-4884.85173
14	-4879.11878
14.25	-4873.49459
14.5	-4867.85795
14.75	-4862.09389
15	-4856.26246
15.25	-4850.44876
15.5	-4844.66286
15.75	-4838.89629
16	-4833.14113
16.25	-4827.38897
16.5	-4821.62888
16.75	-4815.85459
17	-4810.08105
17.25	-4804.31968
17.5	-4798.54652
17.75	-4792.73831
18	-4786.90981
18.25	-4781.08044
18.5	-4775.25008
18.75	-4769.4227
19	-4763.63789
19.25	-4757.92191
19.5	-4752.21183
19.75	-4746.44075
20	-4740.61517
20.25	-4734.76539
20.5	-4728.94371
20.75	-4723.1818
21	-4717.40695
21.25	-4711.55269
21.5	-4705.68202
21.75	-4699.86619
22	-4694.08009
22.25	-4688.28503
22.5	-4682.48448
22.75	-4676.68612
23	-4670.87253
23.25	-4665.03743
23.5	-4659.2441
23.75	-4653.54033
24	-4647.84205
24.25	-4642.05414
24.5	-4636.16891
24.75	-4630.21585
25	-4624.28563
25.25	-4618.4505
25.5	-4612.64758
25.75	-4606.8044
26	-4600.94508
26.25	-4595.10988
26.5	-4589.30701
26.75	-4583.53523
27	-4577.78772
27.25	-4572.05253
27.5	-4566.30265
27.75	-4560.51737
28	-4554.71602
28.25	-4548.924
28.5	-4543.15099
28.75	-4537.39555
29	-4531.6276
29.25	-4525.82404
29.5	-4520.01845
29.75	-4514.24394
30	-4508.47503
30.25	-4502.6808
30.5	-4496.86717
30.75	-4491.05179
31	-4485.2624
31.25	-4479.51677
31.5	-4473.7827
31.75	-4468.02301
32	-4462.2307
32.25	-4456.41314
32.5	-4450.60499
32.75	-4444.83315
33	-4439.06607
33.25	-4433.27285
33.5	-4427.48362
33.75	-4421.72579
34	-4415.95495
34.25	-4410.12985
34.5	-4404.29383
34.75	-4398.49674
35	-4392.72984
35.25	-4386.97713
35.5	-4381.25191
35.75	-4375.55583
36	-4369.81458
36.25	-4363.96598
36.5	-4358.07234
36.75	-4352.22437
37	-4346.50196
37.25	-4340.93643
37.5	-4335.37575
37.75	-4329.67586
38	-4323.90799
38.25	-4318.16881
38.5	-4312.44149
38.75	-4306.69503
39	-4300.95523
39.25	-4295.24825
39.5	-4289.54488
39.75	-4283.80539
40	-4278.00333
40.25	-4272.13031
40.5	-4266.23679
40.75	-4260.37433
41	-4254.53991
41.25	-4248.72627
41.5	-4242.96387
41.75	-4237.27029
42	-4231.57381
42.25	-4225.81223
42.5	-4220.05064
42.75	-4214.35217
43	-4208.6447
43.25	-4202.85064
43.5	-4197.00594
43.75	-4191.16719
44	-4185.36036
44.25	-4179.59071
44.5	-4173.81133
44.75	-4167.98063
45	-4162.13039
45.25	-4156.30316
45.5	-4150.51123
45.75	-4144.75574
46	-4139.0234
46.25	-4133.29214
46.5	-4127.51903
46.75	-4121.68046
47	-4115.85111
47.25	-4110.0978
47.5	-4104.35764
47.75	-4098.56013
48	-4092.73388
48.25	-4086.92198
48.5	-4081.1262
48.75	-4075.34019
49	-4069.56637
49.25	-4063.80458
49.5	-4058.03564
49.75	-4052.2362
50	-4046.38529
50.25	-4040.48246
50.5	-4034.60698
50.75	-4028.82302
51	-4023.05484
51.25	-4017.22371
51.5	-4011.37895
51.75	-4005.58041
52	-3999.80214
52.25	-3994.00823
52.5	-3988.20876
52.75	-3982.4154
53	-3976.60021
53.25	-3970.74193
53.5	-3964.88562
53.75	-3959.07824
54	-3953.30778
54.25	-3947.5461
54.5	-3941.75917
54.75	-3935.93494
55	-3930.15484
55.25	-3924.47894
55.5	-3918.78823
55.75	-3912.9668
56	-3907.09026
56.25	-3901.25672
56.5	-3895.46299
56.75	-3889.68396
57	-3883.90824
57.25	-3878.12899
57.5	-3872.34396
57.75	-3866.55379
58	-3860.76616
58.25	-3854.98849
58.5	-3849.21992
58.75	-3843.44816
59	-3837.62352
59.25	-3831.71178
59.5	-3825.77809
59.75	-3819.88785
60	-3814.00807
60.25	-3808.1036
60.5	-3802.22926
60.75	-3796.42721
61	-3790.59916
61.25	-3784.66151
61.5	-3778.72998
61.75	-3772.91704
62	-3767.12283
62.25	-3761.24693
62.5	-3755.3991
62.75	-3749.68761
63	-3744.00458
63.25	-3738.22919
63.5	-3732.40491
63.75	-3726.59414
64	-3720.77061
64.25	-3714.90881
64.5	-3709.07502
64.75	-3703.32604
65	-3697.58885
65.25	-3691.79138
65.5	-3685.99515
65.75	-3680.2644
66	-3674.54086
66.25	-3668.75921
66.5	-3662.94858
66.75	-3657.15136
67	-3651.36854
67.25	-3645.58979
67.5	-3639.8008
67.75	-3633.99387
68	-3628.19154
68.25	-3622.41608
68.5	-3616.6585
68.75	-3610.90203
69	-3605.13011
69.25	-3599.33576
69.5	-3593.55008
69.75	-3587.80217
70	-3582.0748
70.25	-3576.34704
70.5	-3570.62924
70.75	-3564.9306
71	-3559.22433
71.25	-3553.48618
71.5	-3547.73803
71.75	-3542.00454
72	-3536.27526
72.25	-3530.53769
72.5	-3524.8061
72.75	-3519.09181
73	-3513.3675
73.25	-3507.60385
73.5	-3501.802
73.75	-3495.9746
74	-3490.14976
74.25	-3484.35442
74.5	-3478.59518
74.75	-3472.86251
75	-3467.10254
75.25	-3461.27278
75.5	-3455.42064
75.75	-3449.59617
76	-3443.77011
