Dim : 220 X 20 X 40 mm3
Scan lenght : 200 mm
p=499.14 mm q= 4500 mm teta = 34.99 mrad
x(mm)	Slope(urad)	Slope-BestEllipse(urad)
-100	-4355.0302	-0.57797
-99.75	-4341.02017	0.27153
-99.5	-4327.03045	1.11199
-99.25	-4313.28122	1.7232
-99	-4299.81998	2.05767
-98.75	-4286.6218	2.1403
-98.5	-4273.54492	2.11283
-98.25	-4260.46801	2.09656
-98	-4247.46847	2.0141
-97.75	-4234.62072	1.791
-97.5	-4221.78872	1.56328
-97.25	-4208.84992	1.45347
-97	-4195.94638	1.31951
-96.75	-4183.23592	1.00354
-96.5	-4170.67496	0.54914
-96.25	-4158.15063	0.06916
-96	-4145.47455	-0.24805
-95.75	-4132.49243	-0.2482
-95.5	-4119.26195	0.01101
-95.25	-4105.87987	0.4328
-95	-4092.38739	0.97595
-94.75	-4078.83374	1.59122
-94.5	-4065.35579	2.14171
-94.25	-4052.09675	2.48421
-94	-4039.13739	2.53793
-93.75	-4026.53624	2.24431
-93.5	-4014.32532	1.57133
-93.25	-4002.48192	0.54168
-93	-3990.79101	-0.62964
-92.75	-3979.02144	-1.71147
-92.5	-3967.06969	-2.60035
-92.25	-3954.88202	-3.2425
-92	-3942.47581	-3.65536
-91.75	-3929.86967	-3.85754
-91.5	-3917.01579	-3.80126
-91.25	-3903.9128	-3.48514
-91	-3890.81143	-3.15995
-90.75	-3877.93882	-3.05282
-90.5	-3865.17557	-3.04439
-90.25	-3852.34055	-2.95355
-90	-3839.35221	-2.69875
-89.75	-3826.18746	-2.25692
-89.5	-3812.95742	-1.7392
-89.25	-3799.76653	-1.25004
-89	-3786.55805	-0.73272
-88.75	-3773.28466	-0.13994
-88.5	-3760.09782	0.37684
-88.25	-3747.13342	0.6817
-88	-3734.26649	0.89959
-87.75	-3721.37061	1.15692
-87.5	-3708.57454	1.32493
-87.25	-3696.01193	1.26993
-87	-3683.58096	1.09374
-86.75	-3671.14914	0.92882
-86.5	-3658.69687	0.79477
-86.25	-3646.2356	0.68011
-86	-3633.78814	0.56203
-85.75	-3621.37329	0.4217
-85.5	-3608.98275	0.26742
-85.25	-3596.59975	0.11593
-85	-3584.20089	-0.00938
-84.75	-3571.77034	-0.0927
-84.5	-3559.3292	-0.15513
-84.25	-3546.89152	-0.21076
-84	-3534.40632	-0.2086
-83.75	-3521.83965	-0.11473
-83.5	-3509.2909	-0.02855
-83.25	-3496.86134	-0.05135
-83	-3484.52647	-0.15864
-82.75	-3472.23258	-0.29673
-82.5	-3459.93496	-0.42092
-82.25	-3447.59785	-0.49546
-82	-3435.21232	-0.51146
-81.75	-3422.77076	-0.4613
-81.5	-3410.24389	-0.31571
-81.25	-3397.60945	-0.05247
-81	-3384.89512	0.30074
-80.75	-3372.14806	0.69674
-80.5	-3359.44351	1.06028
-80.25	-3346.86968	1.30314
-80	-3334.53857	1.31328
-79.75	-3322.49731	1.04359
-79.5	-3310.50952	0.73041
-79.25	-3298.35261	0.59634
-79	-3286.14241	0.52551
-78.75	-3274.03508	0.36174
-78.5	-3262.00966	0.126
-78.25	-3250.00532	-0.1209
-78	-3237.9789	-0.33582
-77.75	-3225.90959	-0.49796
-77.5	-3213.84828	-0.65823
-77.25	-3201.83396	-0.85564
-77	-3189.78636	-1.00991
-76.75	-3177.61591	-1.03152
-76.5	-3165.31523	-0.91308
-76.25	-3152.90878	-0.67907
-76	-3140.46613	-0.39906
-75.75	-3128.04608	-0.13189
-75.5	-3115.61929	0.15177
-75.25	-3103.16506	0.47263
-75	-3090.78528	0.72875
-74.75	-3078.579	0.82109
-74.5	-3066.51116	0.7847
-74.25	-3054.52414	0.67717
-74	-3042.60425	0.51218
-73.75	-3030.74406	0.29715
-73.5	-3018.91732	0.05832
-73.25	-3007.09126	-0.17157
-73	-2995.22599	-0.35263
-72.75	-2983.31732	-0.48068
-72.5	-2971.51112	-0.70162
-72.25	-2959.9122	-1.12027
-72	-2948.31108	-1.52715
-71.75	-2936.48506	-1.69958
-71.5	-2924.47281	-1.67625
-71.25	-2912.36916	-1.55201
-71	-2900.2321	-1.38484
-70.75	-2888.09534	-1.20849
-70.5	-2875.93239	-0.99647
-70.25	-2863.72053	-0.72607
-70	-2851.51243	-0.44998
-69.75	-2839.36489	-0.22501
-69.5	-2827.27594	-0.04921
-69.25	-2815.2346	0.08839
-69	-2803.25275	0.17589
-68.75	-2791.34084	0.20284
-68.5	-2779.48076	0.18734
-68.25	-2767.64737	0.15449
-68	-2755.81602	0.12895
-67.75	-2743.98211	0.1153
-67.5	-2732.22089	0.03827
-67.25	-2720.58483	-0.15461
-67	-2708.95552	-0.34495
-66.75	-2697.23973	-0.43954
-66.5	-2685.61596	-0.61688
-66.25	-2674.23174	-1.02452
-66	-2662.83899	-1.41441
-65.75	-2651.17943	-1.52825
-65.5	-2639.34941	-1.46242
-65.25	-2627.49229	-1.3603
-65	-2615.58494	-1.19876
-64.75	-2603.59823	-0.94869
-64.5	-2591.64563	-0.72357
-64.25	-2579.82453	-0.62081
-64	-2568.02533	-0.53082
-63.75	-2556.12438	-0.32996
-63.5	-2544.1488	-0.04536
-63.25	-2532.17715	0.24441
-63	-2520.34294	0.40581
-62.75	-2508.72502	0.35999
-62.5	-2497.12847	0.30186
-62.25	-2485.36642	0.41826
-62	-2473.55797	0.5901
-61.75	-2461.86402	0.65645
-61.5	-2450.30673	0.59514
-61.25	-2438.84726	0.44501
-61	-2427.34134	0.35031
-60.75	-2415.68016	0.41982
-60.5	-2404.00214	0.51514
-60.25	-2392.45665	0.48686
-60	-2380.98989	0.38878
-59.75	-2369.4967	0.32605
-59.5	-2357.86981	0.40592
-59.25	-2346.07517	0.66243
-59	-2334.37379	0.83456
-58.75	-2322.98769	0.70026
-58.5	-2311.68808	0.48834
-58.25	-2300.21817	0.45556
-58	-2288.66022	0.51964
-57.75	-2277.14272	0.55209
-57.5	-2265.64005	0.57851
-57.25	-2254.11292	0.63818
-57	-2242.62148	0.67094
-56.75	-2231.25198	0.59053
-56.5	-2220.09563	0.30573
-56.25	-2209.18449	-0.21555
-56	-2198.30912	-0.76387
-55.75	-2187.26466	-1.13437
-55.5	-2176.10599	-1.38197
-55.25	-2164.92946	-1.60301
-55	-2153.73746	-1.7999
-54.75	-2142.50245	-1.9451
-54.5	-2131.17114	-1.98535
-54.25	-2119.70591	-1.88303
-54	-2108.15755	-1.68896
-53.75	-2096.58115	-1.45822
-53.5	-2084.96044	-1.17457
-53.25	-2073.273	-0.81558
-53	-2061.543	-0.40545
-52.75	-2049.78517	0.04108
-52.5	-2037.92993	0.59358
-52.25	-2025.94823	1.2811
-52	-2014.05748	1.8862
-51.75	-2002.46333	2.20323
-51.5	-1991.07793	2.32003
-51.25	-1979.78737	2.35048
-51	-1968.66708	2.21916
-50.75	-1957.79099	1.85211
-50.5	-1947.03774	1.37071
-50.25	-1936.27445	0.90778
-50	-1925.51759	0.44688
-49.75	-1914.79657	-0.04144
-49.5	-1904.04344	-0.48922
-49.25	-1893.19428	-0.83256
-49	-1882.2987	-1.12108
-48.75	-1871.39899	-1.39709
-48.5	-1860.39463	-1.56008
-48.25	-1849.1966	-1.52102
-48	-1837.90467	-1.37972
-47.75	-1826.61718	-1.23451
-47.5	-1815.23786	-0.98916
-47.25	-1803.67583	-0.55276
-47	-1792.05629	-0.05055
-46.75	-1780.52615	0.37055
-46.5	-1769.10296	0.69298
-46.25	-1757.78798	0.91548
-46	-1746.64656	0.97268
-45.75	-1735.72873	0.81454
-45.5	-1724.95901	0.51654
-45.25	-1714.23294	0.1831
-45	-1703.45567	-0.09093
-44.75	-1692.57142	-0.24975
-44.5	-1681.6709	-0.38412
-44.25	-1670.83208	-0.572
-44	-1659.93514	-0.6936
-43.75	-1648.84874	-0.61757
-43.5	-1637.59309	-0.36415
-43.25	-1626.24217	-0.00732
-43	-1614.93341	0.3155
-42.75	-1603.77244	0.49862
-42.5	-1592.67438	0.62694
-42.25	-1581.54052	0.79916
-42	-1570.40734	0.97879
-41.75	-1559.33267	1.10798
-41.5	-1548.32455	1.17867
-41.25	-1537.37165	1.2022
-41	-1526.4349	1.21762
-40.75	-1515.49672	1.2425
-40.5	-1504.65312	1.18081
-40.25	-1493.98443	0.95223
-40	-1483.39463	0.65275
-39.75	-1472.76912	0.39696
-39.5	-1462.09545	0.19732
-39.25	-1451.37755	0.04987
-39	-1440.58294	-0.01292
-38.75	-1429.6817	0.03886
-38.5	-1418.69061	0.18844
-38.25	-1407.66199	0.38345
-38	-1396.7439	0.47585
-37.75	-1386.04967	0.3523
-37.5	-1375.45823	0.13383
-37.25	-1364.82169	-0.03164
-37	-1354.1192	-0.1233
-36.75	-1343.37408	-0.16447
-36.5	-1332.65928	-0.22811
-36.25	-1322.03943	-0.37886
-36	-1311.49638	-0.59859
-35.75	-1300.99498	-0.85215
-35.5	-1290.5149	-1.11923
-35.25	-1280.03125	-1.37494
-35	-1269.48601	-1.56127
-34.75	-1258.821	-1.62005
-34.5	-1248.01035	-1.52544
-34.25	-1237.04554	-1.26891
-34	-1225.95495	-0.87885
-33.75	-1214.75588	-0.37257
-33.5	-1203.38439	0.31384
-33.25	-1191.81869	1.20218
-33	-1180.28685	2.06435
-32.75	-1169.01716	2.67208
-32.5	-1157.98891	3.04605
-32.25	-1147.13923	3.24912
-32	-1136.48555	3.26385
-31.75	-1126.0432	3.0749
-31.5	-1115.73873	2.75572
-31.25	-1105.50831	2.37012
-31	-1095.41536	1.85467
-30.75	-1085.50998	1.15927
-30.5	-1075.66174	0.41432
-30.25	-1065.72685	-0.23638
-30	-1055.6885	-0.77604
-29.75	-1045.56933	-1.22731
-29.5	-1035.42285	-1.6437
-29.25	-1025.25299	-2.02916
-29	-1014.83455	-2.1585
-28.75	-1003.98141	-1.84561
-28.5	-992.89279	-1.28972
-28.25	-981.81925	-0.7414
-28	-970.83118	-0.27103
-27.75	-959.93581	0.11411
-27.5	-949.068	0.47919
-27.25	-938.18096	0.87097
-27	-927.37391	1.19022
-26.75	-916.74166	1.34213
-26.5	-906.21542	1.39547
-26.25	-895.70098	1.44444
-26	-885.16605	1.52133
-25.75	-874.61055	1.62621
-25.5	-864.10121	1.69233
-25.25	-853.70354	1.65417
-25	-843.4112	1.51807
-24.75	-833.22053	1.28768
-24.5	-823.2103	0.88422
-24.25	-813.41725	0.27092
-24	-803.62738	-0.3382
-23.75	-793.63012	-0.73259
-23.5	-783.47929	-0.96608
-23.25	-773.27623	-1.14003
-23	-763.04785	-1.28135
-22.75	-752.78506	-1.38095
-22.5	-742.40921	-1.36021
-22.25	-731.86294	-1.16177
-22	-721.24352	-0.8829
-21.75	-710.65799	-0.63066
-21.5	-700.09784	-0.39654
-21.25	-689.53662	-0.15412
-21	-678.99184	0.0791
-20.75	-668.47756	0.28905
-20.5	-657.95039	0.5191
-20.25	-647.37452	0.80505
-20	-636.80209	1.09476
-19.75	-626.29516	1.32617
-19.5	-615.86765	1.48532
-19.25	-605.51872	1.57307
-19	-595.23652	1.60125
-18.75	-585.01477	1.57613
-18.5	-574.88046	1.4707
-18.25	-564.84643	1.27213
-18	-554.83554	1.05756
-17.75	-544.77457	0.90017
-17.5	-534.69605	0.76743
-17.25	-524.64823	0.61109
-17	-514.63645	0.4258
-16.75	-504.65735	0.2149
-16.5	-494.71561	-0.02629
-16.25	-484.81918	-0.30572
-16	-474.98098	-0.63634
-15.75	-465.19127	-1.0084
-15.5	-455.34456	-1.31644
-15.25	-445.34083	-1.46042
-15	-435.19745	-1.45775
-14.75	-424.95656	-1.35056
-14.5	-414.6418	-1.1625
-14.25	-404.29849	-0.93891
-14	-394.07716	-0.83032
-13.75	-384.07252	-0.93145
-13.5	-374.05084	-1.00857
-13.25	-363.77293	-0.82251
-13	-353.30624	-0.44073
-12.75	-342.78577	0.00176
-12.5	-332.31013	0.40635
-12.25	-321.94096	0.71139
-12	-311.62837	0.96675
-11.75	-301.31761	1.2272
-11.5	-291.04603	1.45534
-11.25	-280.86159	1.60322
-11	-270.76241	1.67273
-10.75	-260.73757	1.67475
-10.5	-250.78992	1.60644
-10.25	-240.92802	1.45924
-10	-231.16955	1.21544
-9.75	-221.52131	0.86823
-9.5	-211.93732	0.4636
-9.25	-202.36704	0.05207
-9	-192.79429	-0.35019
-8.75	-183.20362	-0.72772
-8.5	-173.54783	-1.03335
-8.25	-163.78943	-1.2296
-8	-153.96132	-1.34936
-7.75	-144.09445	-1.4236
-7.5	-134.14155	-1.40506
-7.25	-124.04221	-1.23333
-7	-113.76167	-0.87367
-6.75	-103.30433	-0.33049
-6.5	-92.80577	0.26064
-6.25	-82.41401	0.75168
-6	-72.19584	1.07584
-5.75	-62.16635	1.21801
-5.5	-52.21505	1.28866
-5.25	-42.23988	1.38987
-5	-32.29799	1.46447
-4.75	-22.47042	1.4314
-4.5	-12.77462	1.27322
-4.25	-3.19887	1.00163
-4	6.32159	0.6814
-3.75	15.83093	0.35667
-3.5	25.2379	-0.06382
-3.25	34.48211	-0.64045
-3	43.76225	-1.17455
-2.75	53.27393	-1.47053
-2.5	62.94152	-1.604
-2.25	72.65433	-1.68567
-2	82.43269	-1.69523
-1.75	92.32571	-1.58356
-1.5	102.36664	-1.31743
-1.25	112.56021	-0.8921
-1	122.81306	-0.40097
-0.75	133.00727	0.03806
-0.5	143.02501	0.30713
-0.25	152.80201	0.34197
0	162.48833	0.29264
0.25	172.23046	0.30562
0.5	181.94638	0.29888
0.75	191.55356	0.18988
1	201.19607	0.12268
1.25	211.01037	0.23374
1.5	220.87622	0.4028
1.75	230.64563	0.48187
2	240.31656	0.4689
2.25	249.91892	0.39379
2.5	259.46454	0.26838
2.75	268.97092	0.11014
3	278.49626	-0.02274
3.25	288.09199	-0.07882
3.5	297.74179	-0.07444
3.75	307.40062	-0.05464
4	316.97643	-0.11148
4.25	326.39711	-0.31709
4.5	335.71723	-0.61689
4.75	345.01689	-0.93081
5	354.35141	-1.2035
5.25	363.7623	-1.3935
5.5	373.26031	-1.49005
5.75	382.85451	-1.48407
6	392.57795	-1.34254
6.25	402.44936	-1.04674
6.5	412.40617	-0.65924
6.75	422.3667	-0.26172
7	432.25418	0.06903
7.25	442.00954	0.27393
7.5	451.63968	0.3599
7.75	461.17028	0.35257
8	470.63603	0.28665
8.25	480.06759	0.19279
8.5	489.47034	0.07637
8.75	498.85119	-0.05573
9	508.24832	-0.16533
9.25	517.69161	-0.22255
9.5	527.1465	-0.26196
9.75	536.57045	-0.32612
10	545.95342	-0.42505
10.25	555.31569	-0.5385
10.5	564.76627	-0.55746
10.75	574.38895	-0.39815
11	584.07812	-0.16619
11.25	593.72446	0.0291
11.5	603.39327	0.25301
11.75	613.14772	0.5687
