X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
0.00	-33.62	26.91	-33.6175	10.2646
1.00	-72.84	25.51	-39.2185	3.89373
2.00	-114.33	24.14	-41.4895	0.852865
3.00	-156.91	22.79	-42.5795	-1.007
4.00	-198.80	21.46	-41.8955	-1.09286
5.00	-239.89	20.15	-41.0925	-1.05972
6.00	-280.41	18.90	-40.5175	-1.25458
7.00	-320.54	17.72	-40.1275	-1.63444
8.00	-359.91	16.40	-39.3685	-1.64531
9.00	-398.54	14.94	-38.6355	-1.68217
10.00	-436.22	13.35	-37.6765	-1.49303
11.00	-473.10	11.62	-36.8815	-1.46789
12.00	-508.86	9.82	-35.7565	-1.11275
13.00	-543.63	7.96	-34.7685	-0.894614
14.00	-577.39	6.16	-33.7675	-0.663475
15.00	-610.36	4.44	-32.9695	-0.635337
16.00	-642.99	2.87	-32.6235	-1.0592
17.00	-674.80	1.45	-31.8145	-1.02006
18.00	-705.57	0.18	-30.7735	-0.748922
19.00	-735.46	-0.92	-29.8875	-0.632784
20.00	-764.76	-1.87	-29.3025	-0.817646
21.00	-793.29	-2.68	-28.5245	-0.809507
22.00	-821.08	-3.30	-27.7915	-0.846369
23.00	-848.00	-3.73	-26.9205	-0.745231
24.00	-874.36	-3.93	-26.3545	-0.949093
25.00	-899.86	-3.88	-25.5065	-0.870954
26.00	-924.34	-3.69	-24.4725	-0.606816
27.00	-948.14	-3.37	-23.8045	-0.708678
28.00	-971.06	-2.92	-22.9235	-0.59754
29.00	-993.21	-2.36	-22.1495	-0.593401
30.00	-1014.38	-1.88	-21.1645	-0.378263
31.00	-1034.69	-1.49	-20.3105	-0.294125
32.00	-1054.24	-1.16	-19.5565	-0.309987
33.00	-1073.42	-0.90	-19.1745	-0.697848
34.00	-1091.72	-0.75	-18.3065	-0.59971
35.00	-1108.68	-0.75	-16.9585	-0.0215717
36.00	-1124.66	-0.87	-15.9765	0.190567
37.00	-1139.61	-1.14	-14.9545	0.442705
38.00	-1153.71	-1.46	-14.0975	0.529843
39.00	-1166.92	-1.84	-13.2125	0.644981
40.00	-1178.98	-2.25	-12.0585	1.02912
41.00	-1190.70	-2.69	-11.7175	0.600258
42.00	-1201.23	-3.16	-10.5335	1.0144
43.00	-1211.62	-3.70	-10.3865	0.391534
44.00	-1221.27	-4.32	-9.65354	0.354633
45.00	-1229.92	-4.98	-8.64154	0.596771
46.00	-1237.98	-5.66	-8.06854	0.399909
47.00	-1245.65	-6.33	-7.66754	0.0310475
48.00	-1252.34	-6.99	-6.69154	0.237186
49.00	-1257.91	-7.69	-5.57154	0.587324
50.00	-1262.69	-8.43	-4.77154	0.617462
51.00	-1266.73	-9.26	-4.04454	0.574601
52.00	-1270.25	-10.19	-3.52154	0.327739
53.00	-1272.59	-11.14	-2.33254	0.746877
54.00	-1274.17	-12.12	-1.58654	0.723015
55.00	-1275.11	-13.05	-0.940539	0.599155
56.00	-1275.64	-13.89	-0.528539	0.241293
57.00	-1275.29	-14.67	0.354461	0.354431
58.00	-1273.91	-15.34	1.37146	0.601569
59.00	-1271.54	-16.01	2.37446	0.834707
60.00	-1268.64	-16.63	2.89746	0.587845
61.00	-1264.71	-17.21	3.93246	0.852983
62.00	-1259.91	-17.72	4.79846	0.949122
63.00	-1254.72	-18.11	5.19646	0.57726
64.00	-1248.93	-18.47	5.78246	0.393398
65.00	-1242.22	-18.75	6.71546	0.556536
66.00	-1234.56	-18.95	7.65746	0.728675
67.00	-1226.54	-19.09	8.01646	0.317813
68.00	-1218.36	-19.18	8.18746	-0.281049
69.00	-1209.46	-19.26	8.89346	-0.344911
70.00	-1199.90	-19.28	9.56546	-0.442772
71.00	-1189.40	-19.22	10.5005	-0.277594
72.00	-1178.11	-19.13	11.2885	-0.259456
73.00	-1165.77	-18.92	12.3365	0.0186826
74.00	-1152.53	-18.60	13.2395	0.151821
75.00	-1138.52	-18.09	14.0105	0.152959
76.00	-1123.88	-17.37	14.6445	0.0170974
77.00	-1108.53	-16.45	15.3495	-0.0477644
78.00	-1092.57	-15.26	15.9605	-0.206626
79.00	-1075.57	-13.98	17.0025	0.0655122
80.00	-1057.72	-12.57	17.8475	0.14065
81.00	-1039.25	-11.11	18.4685	-0.00821128
82.00	-1020.82	-9.58	18.4325	-0.814073
83.00	-1000.80	-7.99	20.0215	0.00506526
84.00	-979.96	-6.56	20.8315	0.0452035
85.00	-958.01	-5.19	21.9495	0.393342
86.00	-935.35	-3.87	22.6665	0.34048
87.00	-911.70	-2.59	23.6455	0.549618
88.00	-887.57	-1.38	24.1325	0.266757
89.00	-862.75	-0.35	24.8175	0.181895
