X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
-221.34	18.05	-5.65	-0.137255	0.103532
-220.32	17.91	-5.55	-0.0294118	0.21
-219.30	17.99	-5.24	0.279412	0.51745
-218.28	18.48	-4.51	0.338235	0.574899
-217.26	18.68	-4.08	0.142157	0.377446
-216.24	18.77	-3.76	0.0196078	0.253523
-215.22	18.72	-3.58	-0.102941	0.1296
-214.20	18.56	-3.52	-0.181373	0.0497943
-213.18	18.35	-3.49	-0.343137	-0.113345
-212.16	17.86	-3.75	-0.328431	-0.100013
-211.14	17.68	-3.71	-0.0833333	0.143711
-210.12	17.69	-3.48	0.0343137	0.259984
-209.10	17.75	-3.19	-0.00980392	0.214492
-208.08	17.67	-3.05	-0.0294118	0.19351
-207.06	17.69	-2.81	-0.176471	0.0450766
-206.04	17.31	-2.96	-0.313725	-0.0935526
-205.02	17.05	-3.00	-0.166667	0.052132
-204.00	16.97	-2.87	0.0980392	0.315464
-202.98	17.25	-2.38	0.117647	0.333697
-201.96	17.21	-2.19	-0.127451	0.087225
-200.94	16.99	-2.20	-0.0539216	0.15938
-199.92	17.10	-1.88	0.0931373	0.305065
-198.90	17.18	-1.58	0.147059	0.357612
-197.88	17.40	-1.15	0.0980392	0.307218
-196.86	17.38	-0.97	-0.0490196	0.158785
-195.84	17.30	-0.84	-0.0735294	0.132901
-194.82	17.23	-0.70	-0.00980392	0.195252
-193.80	17.28	-0.44	0.0735294	0.277212
-192.78	17.38	-0.14	0.112745	0.315053
-191.76	17.51	0.20	-0.0637255	0.137208
-190.74	17.25	0.13	-0.151961	0.0475986
-189.72	17.20	0.29	-0.0980392	0.100146
-188.70	17.05	0.34	-0.176471	0.0203404
-187.68	16.84	0.33	-0.22549	-0.0300535
-186.66	16.59	0.27	-0.431373	-0.23731
-185.64	15.96	-0.16	-0.578431	-0.385743
-184.62	15.41	-0.51	-0.392157	-0.200843
-183.60	15.16	-0.56	-0.279412	-0.089472
-182.58	14.84	-0.70	-0.205882	-0.0173168
-181.56	14.74	-0.60	-0.117647	0.0695442
-180.54	14.60	-0.55	-0.147059	0.0387582
-179.52	14.44	-0.52	-0.0882353	0.0962075
-178.50	14.42	-0.35	-0.0392157	0.143853
-177.48	14.36	-0.22	-0.122549	0.0591453
-176.46	14.17	-0.23	-0.205882	-0.0255622
-175.44	13.94	-0.27	-0.22549	-0.0465443
-174.42	13.71	-0.31	-0.0490196	0.128552
-173.40	13.84	0.00	-0.0294118	0.146786
-172.38	13.65	-0.01	-0.25	-0.0751768
-171.36	13.33	-0.15	-0.294118	-0.120669
-170.34	13.05	-0.25	-0.230392	-0.0583174
-169.32	12.86	-0.27	-0.0882353	0.0824652
-168.30	12.87	-0.08	0.0245098	0.193836
-167.28	12.91	0.14	0.0343137	0.202266
-166.26	12.94	0.34	-0.0833333	0.0832444
-165.24	12.74	0.32	-0.220588	-0.0553847
-164.22	12.49	0.24	-0.254902	-0.0910726
-163.20	12.22	0.14	-0.240196	-0.077741
-162.18	12.00	0.09	-0.107843	0.0532377
-161.16	12.00	0.26	0.0539216	0.213628
-160.14	12.11	0.54	0.0490196	0.207352
-159.12	12.10	0.69	-0.142157	0.0148013
-158.10	11.82	0.58	-0.294118	-0.138534
-157.08	11.50	0.43	-0.20098	-0.0467707
-156.06	11.41	0.49	-0.0490196	0.103816
-155.04	11.40	0.65	-0.0882353	0.0632259
-154.02	11.23	0.64	-0.269608	-0.119521
-153.00	10.85	0.42	-0.362745	-0.214032
-151.98	10.49	0.22	-0.181373	-0.0340341
-150.96	10.48	0.36	-0.0147059	0.131258
-149.94	10.46	0.50	-0.0784314	0.0661587
-148.92	10.32	0.52	-0.0882353	0.0549805
-147.90	10.28	0.64	0.0147059	0.156547
-146.88	10.35	0.86	0.0392157	0.179683
-145.86	10.36	1.02	-0.0294118	0.109681
-144.84	10.29	1.10	-0.0588235	0.0788953
-143.82	10.24	1.19	-0.0539216	0.082423
-142.80	10.18	1.29	-0.161765	-0.0267943
-141.78	9.91	1.16	-0.279412	-0.145816
-140.76	9.61	1.01	-0.132353	-0.000131029
-139.74	9.64	1.18	-0.0637255	0.0671222
-138.72	9.48	1.17	-0.313725	-0.184252
-137.70	9.00	0.82	-0.436275	-0.308175
-136.68	8.59	0.56	-0.279412	-0.152687
-135.66	8.43	0.53	-0.171569	-0.0462179
-134.64	8.24	0.49	-0.367647	-0.243671
-133.62	7.68	0.06	-0.470588	-0.347986
-132.60	7.28	-0.21	-0.176471	-0.0552426
-131.58	7.32	-0.02	0	0.119854
-130.56	7.28	0.07	-0.171569	-0.0530891
-129.54	6.97	-0.11	-0.352941	-0.235836
-128.52	6.56	-0.39	-0.338235	-0.222504
-127.50	6.28	-0.53	-0.313725	-0.199369
-126.48	5.92	-0.77	-0.406863	-0.29388
-125.46	5.45	-1.11	-0.29902	-0.187411
-124.44	5.31	-1.12	0.122549	0.232783
-123.42	5.70	-0.60	0.318627	0.427487
-122.40	5.96	-0.22	0.117647	0.225133
-121.38	5.94	-0.12	-0.0784314	0.0276801
-120.36	5.80	-0.14	-0.0294118	0.0753255
-119.34	5.88	0.06	0.0637255	0.167088
-118.32	5.93	0.24	-0.112745	-0.0107564
-117.30	5.65	0.08	-0.323529	-0.222915
-116.28	5.27	-0.19	-0.362745	-0.263505
-115.26	4.91	-0.43	-0.284314	-0.186448
-114.24	4.69	-0.54	-0.186275	-0.0897827
-113.22	4.53	-0.58	-0.220588	-0.125471
-112.20	4.24	-0.76	-0.264706	-0.170963
-111.18	3.99	-0.90	-0.235294	-0.142925
-110.16	3.76	-1.01	-0.127451	-0.0364561
-109.14	3.73	-0.93	-0.147059	-0.0574382
-108.12	3.46	-1.10	-0.269608	-0.181361
-107.10	3.18	-1.27	-0.112745	-0.0258729
-106.08	3.23	-1.11	0.387255	0.472753
-105.06	3.97	-0.27	0.406863	0.490986
-104.04	4.06	-0.08	0.0637255	0.146475
-103.02	4.10	0.07	0.0196078	0.100983
-102.00	4.10	0.17	0.0784314	0.158432
-100.98	4.26	0.43	0.107843	0.18647
-99.96	4.32	0.59	-0.00490196	0.0723506
-98.94	4.25	0.62	-0.142157	-0.0662786
-97.92	4.03	0.49	-0.142157	-0.0676528
-96.90	3.96	0.51	0	0.0731298
-95.88	4.03	0.68	-0.00980392	0.0619517
-94.86	3.94	0.69	-0.0490196	0.0213617
-93.84	3.93	0.77	0.107843	0.17685
-92.82	4.16	1.09	0.151961	0.219594
-91.80	4.24	1.26	-0.00980392	0.0564547
-90.78	4.14	1.25	0.102941	0.167826
-89.76	4.45	1.64	0.220588	0.284098
-88.74	4.59	1.87	-0.0882353	-0.0260994
-87.72	4.27	1.64	-0.215686	-0.154925
-86.70	4.15	1.60	-0.0441176	0.0152698
-85.68	4.18	1.72	-0.132353	-0.0743397
-84.66	3.88	1.50	-0.313725	-0.257086
-83.64	3.54	1.23	-0.240196	-0.184931
-82.62	3.39	1.16	-0.0735294	-0.0196389
-81.60	3.39	1.24	-0.0686275	-0.0161112
-80.58	3.25	1.18	-0.137255	-0.0861128
-79.56	3.11	1.11	-0.132353	-0.0825851
-78.54	2.98	1.06	-0.0441176	0.00427594
-77.52	3.02	1.18	0.00980392	0.0568233
-76.50	3.00	1.23	-0.127451	-0.0818059
-75.48	2.76	1.05	-0.127451	-0.0831801
-74.46	2.74	1.11	-0.0343137	0.00858293
-73.44	2.69	1.13	0.0196078	0.0611303
-72.42	2.78	1.29	0.171569	0.211717
-71.40	3.04	1.61	0.0588235	0.0975975
-70.38	2.90	1.53	-0.514706	-0.477306
-69.36	1.99	0.69	-0.573529	-0.537504
-68.34	1.73	0.50	0.191176	0.225828
-67.32	2.38	1.21	0.990196	1.02347
-66.30	3.75	2.63	0.715686	0.747589
-65.28	3.84	2.78	0.0490196	0.0795481
-64.26	3.85	2.85	0.25	0.279154
-63.24	4.35	3.41	0.343137	0.370917
-62.22	4.55	3.67	-0.0392157	-0.0128099
-61.20	4.27	3.45	-0.289216	-0.264184
-60.18	3.96	3.19	0.00490196	0.0285593
-59.16	4.28	3.56	0.102941	0.125224
-58.14	4.17	3.50	0.0147059	0.0356148
-57.12	4.31	3.69	0.0882353	0.10777
-56.10	4.35	3.78	0.0588235	0.076984
-55.08	4.43	3.90	-0.00490196	0.0118842
-54.06	4.34	3.86	-0.0490196	-0.0336077
-53.04	4.33	3.90	-0.0343137	-0.020276
-52.02	4.27	3.89	-0.156863	-0.144199
-51.00	4.01	3.67	-0.186275	-0.174985
-49.98	3.89	3.59	-0.0441176	-0.0342026
-48.96	3.92	3.66	-0.0245098	-0.015969
-47.94	3.84	3.62	-0.0490196	-0.0418531
-46.92	3.82	3.64	-0.0294118	-0.0236195
-45.90	3.78	3.64	-0.0637255	-0.0593074
-44.88	3.69	3.58	-0.0882353	-0.0851915
-43.86	3.60	3.53	-0.0784314	-0.0767618
-42.84	3.53	3.50	-0.0882353	-0.0879399
-41.82	3.42	3.41	-0.156863	-0.157942
-40.80	3.21	3.23	-0.181373	-0.183826
-39.78	3.05	3.10	-0.166667	-0.170494
-38.76	2.87	2.96	-0.0980392	-0.103241
-37.74	2.85	2.97	-0.0343137	-0.0408895
-36.72	2.80	2.94	-0.0294118	-0.0373618
-35.70	2.79	2.96	-0.0196078	-0.0289321
-34.68	2.76	2.95	-0.122549	-0.133248
-33.66	2.54	2.75	-0.215686	-0.227759
