X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
0.00	-259.15	-65.44	-259.154	-0.0166794
1.00	-515.19	-64.03	-256.034	0.935207
2.00	-768.27	-61.83	-253.081	1.71899
3.00	-1019.14	-59.60	-250.876	1.75588
4.00	-1268.22	-57.73	-249.078	1.38527
5.00	-1515.39	-56.12	-247.165	1.12965
6.00	-1760.30	-54.42	-244.91	1.21634
7.00	-2002.59	-52.28	-242.297	1.66113
8.00	-2241.87	-49.28	-239.273	2.51661
9.00	-2478.29	-45.60	-236.42	3.2003
10.00	-2713.37	-42.75	-235.087	2.36538
11.00	-2946.93	-40.54	-233.561	1.72287
12.00	-3178.76	-38.76	-231.825	1.28986
13.00	-3408.29	-36.87	-229.534	1.41284
14.00	-3635.61	-34.92	-227.32	1.45863
15.00	-3859.93	-32.14	-224.316	2.29402
16.00	-4081.51	-28.79	-221.582	2.859
17.00	-4300.49	-25.01	-218.983	3.28929
18.00	-4516.87	-20.79	-216.376	3.72808
19.00	-4732.01	-17.50	-215.143	2.79306
20.00	-4945.38	-14.61	-213.367	2.40015
21.00	-5157.34	-12.47	-211.956	1.64254
22.00	-5367.31	-10.52	-209.975	1.45542
23.00	-5575.41	-8.86	-208.097	1.16401
24.00	-5781.93	-7.79	-206.522	0.571295
25.00	-5986.19	-6.64	-204.264	0.660281
26.00	-6188.47	-5.66	-202.278	0.478268
27.00	-6388.69	-4.79	-200.221	0.366154
28.00	-6587.13	-4.31	-198.434	-0.0146592
29.00	-6781.81	-2.24	-194.682	1.56813
30.00	-6974.22	-0.06	-192.408	1.67351
31.00	-7165.86	0.72	-191.639	0.2742
32.00	-7356.57	0.25	-190.716	-0.970913
33.00	-7545.69	-0.78	-189.113	-1.53663
34.00	-7733.09	-2.27	-187.403	-1.99474
35.00	-7918.39	-3.83	-185.3	-2.06075
36.00	-8101.15	-5.01	-182.761	-1.69007
37.00	-8281.85	-6.30	-180.706	-1.80318
38.00	-8459.88	-7.08	-178.025	-1.29079
39.00	-8635.32	-7.45	-175.44	-0.874908
40.00	-8808.41	-7.64	-173.095	-0.698322
41.00	-8978.51	-6.99	-170.097	0.131464
42.00	-9145.78	-5.69	-167.272	0.788151
43.00	-9309.85	-3.35	-164.065	1.82664
44.00	-9471.57	-0.84	-161.725	1.99812
45.00	-9630.54	2.27	-158.967	2.58721
46.00	-9786.21	6.50	-155.673	3.7128
47.00	-9940.55	9.89	-154.338	2.87888
48.00	-10092.40	13.63	-151.834	3.21517
49.00	-10241.50	17.88	-149.149	3.73116
50.00	-10388.70	21.90	-147.204	3.50774
51.00	-10534.30	25.37	-145.599	2.94433
52.00	-10677.70	28.87	-143.393	2.98212
53.00	-10819.70	31.63	-141.975	2.2311
54.00	-10960.00	33.89	-140.294	1.74319
55.00	-11098.00	36.27	-138.018	1.85127
56.00	-11233.50	38.98	-135.514	2.18706
57.00	-11367.30	41.28	-133.758	1.77365
58.00	-11499.70	42.80	-132.372	0.991834
59.00	-11630.10	44.05	-130.474	0.72142
60.00	-11758.00	45.76	-127.85	1.17691
61.00	-11883.30	47.78	-125.368	1.49029
62.00	-12006.80	49.51	-123.486	1.20308
63.00	-12128.50	50.95	-121.616	0.905166
64.00	-12248.80	51.48	-120.359	-0.00654753
65.00	-12366.60	52.40	-117.79	0.393939
66.00	-12481.70	53.90	-115.054	0.961225
67.00	-12595.10	54.85	-113.427	0.420212
68.00	-12705.60	56.52	-110.554	1.1248
69.00	-12814.60	57.61	-108.956	0.553485
70.00	-12921.90	58.20	-107.282	0.0590711
71.00	-13026.20	59.55	-104.363	0.809758
72.00	-13128.30	61.00	-102.1	0.904344
73.00	-13228.80	61.93	-100.448	0.38803
74.00	-13327.80	62.07	-99.0606	-0.393273
75.00	-13425.40	61.55	-97.563	-1.06422
76.00	-13520.90	60.98	-95.4513	-1.12096
77.00	-13614.80	59.72	-93.9597	-1.79796
78.00	-13707.60	57.47	-92.7951	-2.80186
79.00	-13798.60	54.84	-90.9935	-3.16873
80.00	-13888.20	51.44	-89.6025	-3.9463
81.00	-13975.40	48.31	-87.1671	-3.67942
82.00	-14059.60	46.01	-84.1748	-2.85559
83.00	-14140.70	44.51	-81.1918	-2.04108
84.00	-14219.80	42.98	-79.0702	-2.08804
85.00	-14296.70	41.49	-76.8555	-2.04186
86.00	-14371.40	39.97	-74.7181	-2.073
87.00	-14443.40	38.98	-72.0192	-1.54253
88.00	-14513.50	37.78	-70.0592	-1.75108
89.00	-14581.10	36.87	-67.6075	-1.46789
90.00	-14646.10	36.41	-64.983	-1.01193
91.00	-14708.70	36.14	-62.6277	-0.825134
92.00	-14768.70	36.33	-60.0074	-0.373367
93.00	-14826.60	36.47	-57.8794	-0.413811
94.00	-14881.70	37.19	-55.1394	0.157626
95.00	-14935.40	37.23	-53.6456	-0.517048
96.00	-14987.30	36.84	-51.9194	-0.959352
97.00	-15036.90	36.52	-49.6698	-0.878255
98.00	-15084.70	35.95	-47.7605	-1.13756
99.00	-15130.90	34.79	-46.1745	-1.72003
100.00	-15175.10	33.43	-44.2131	-1.92718
101.00	-15217.80	31.39	-42.7244	-2.60697
