gID15-M1+ML-C-15-ABBA3ave.slp
Rc (m)	SLP err rms (urad) 	HGT err rms (nm)	PV profile (um)	PV HGT err (nm)
29497.264374	0.161316	0.990542	0.337309	4.505771

x (mm)	slope error (urad)	x (mm)	HGT error (nm)	HGT  (um)
-134.999995	0.184312	-134.999995	-1.829089	0.337309
-133.999995	0.155451	-133.999995	-1.619444	0.332730
-132.999995	0.110297	-132.999995	-1.448726	0.328147
-131.999995	0.066473	-131.999995	-1.322804	0.323553
-130.999995	-0.013092	-130.999995	-1.259060	0.318930
-129.999995	-0.096638	-129.999995	-1.274740	0.314263
-128.999995	-0.101745	-128.999995	-1.334179	0.309586
-127.999995	-0.070143	-127.999995	-1.382396	0.304954
-126.999995	-0.044335	-126.999995	-1.401752	0.300386
-125.999995	0.038859	-125.999995	-1.368214	0.295904
-124.999995	0.052265	-124.999995	-1.289517	0.291502
-123.999995	-0.014628	-123.999995	-1.234765	0.287110
-122.999995	-0.003884	-122.999995	-1.206053	0.282726
-121.999995	0.037363	-121.999995	-1.153755	0.278400
-120.999995	0.053723	-120.999995	-1.074142	0.274135
-119.999995	0.042229	-119.999995	-0.992351	0.269907
-118.999995	0.006732	-118.999995	-0.933032	0.265690
-117.999995	0.005643	-117.999995	-0.890033	0.261492
-116.999995	0.088375	-116.999995	-0.808021	0.257366
-115.999995	0.131780	-115.999995	-0.667253	0.253334
-114.999995	0.065194	-114.999995	-0.538664	0.249323
-113.999995	-0.055878	-113.999995	-0.499721	0.245257
-112.999995	-0.073053	-112.999995	-0.526659	0.241159
-111.999995	0.024077	-111.999995	-0.517055	0.237132
-110.999995	0.073307	-110.999995	-0.438132	0.233209
-109.999995	0.064639	-109.999995	-0.338166	0.229340
-108.999995	0.057763	-108.999995	-0.244271	0.225500
-107.999995	0.087737	-107.999995	-0.138794	0.221705
-106.999995	0.134189	-106.999995	0.003638	0.217982
-105.999995	0.170267	-105.999995	0.186538	0.214333
-104.999995	0.197687	-104.999995	0.399834	0.210749
-103.999995	0.162911	-103.999995	0.607947	0.207194
-102.999995	0.060339	-102.999995	0.749379	0.203607
-101.999995	0.004362	-101.999995	0.814938	0.199977
-100.999995	0.057023	-100.999995	0.877720	0.196379
-99.999995	0.115624	-99.999995	0.991919	0.192867
-98.999995	0.093741	-98.999995	1.122878	0.189405
-97.999995	0.014120	-97.999995	1.205965	0.185930
-96.999995	0.005425	-96.999995	1.247768	0.182448
-95.999995	0.090013	-95.999995	1.324900	0.179035
-94.999995	0.133021	-94.999995	1.462779	0.175718
-93.999995	0.136028	-93.999995	1.625291	0.172459
-92.999995	0.188602	-92.999995	1.815860	0.169262
-91.999995	0.227053	-91.999995	2.048667	0.166142
-90.999995	0.171041	-90.999995	2.271926	0.163046
-89.999995	0.077130	-89.999995	2.421992	0.159911
-88.999995	-0.013193	-88.999995	2.480695	0.156719
-87.999995	-0.092141	-87.999995	2.454886	0.153477
-86.999995	-0.148400	-86.999995	2.362535	0.150202
-85.999995	-0.129273	-85.999995	2.251533	0.146943
-84.999995	-0.078352	-84.999995	2.172008	0.143750
-83.999995	-0.109214	-83.999995	2.100460	0.140598
-82.999995	-0.193644	-82.999995	1.973658	0.137426
-81.999995	-0.231980	-81.999995	1.787674	0.134229
-80.999995	-0.205093	-80.999995	1.595361	0.131059
-79.999995	-0.147991	-79.999995	1.443179	0.127964
-78.999995	-0.102022	-78.999995	1.340856	0.124953
-77.999995	-0.093210	-77.999995	1.265988	0.122003
-76.999995	-0.079270	-76.999995	1.203131	0.119100
-75.999995	-0.058921	-75.999995	1.156578	0.116247
-74.999995	-0.060623	-74.999995	1.117153	0.113435
-73.999995	-0.148210	-73.999995	1.036622	0.110617
-72.999995	-0.074872	-72.999995	0.949553	0.107826
-71.999995	-0.046157	-71.999995	0.907428	0.105114
-70.999995	-0.135338	-70.999995	0.837440	0.102408
-69.999995	-0.142268	-69.999995	0.721775	0.099691
-68.999995	-0.139827	-68.999995	0.601686	0.097004
-67.999995	-0.146653	-67.999995	0.478495	0.094348
-66.999995	-0.174607	-66.999995	0.338241	0.091709
-65.999995	-0.183020	-65.999995	0.179979	0.089086
-64.999995	-0.191019	-64.999995	0.012632	0.086488
-63.999995	-0.208554	-63.999995	-0.167877	0.083912
-62.999995	-0.231476	-62.999995	-0.368333	0.081349
-61.999995	-0.237334	-61.999995	-0.582882	0.078807
-60.999995	-0.221196	-60.999995	-0.793338	0.076302
-59.999995	-0.225146	-59.999995	-0.997501	0.073839
-58.999995	-0.184441	-58.999995	-1.181401	0.071429
-57.999995	-0.060187	-57.999995	-1.284482	0.069135
-56.999995	0.042166	-56.999995	-1.277044	0.066985
-55.999995	0.107509	-55.999995	-1.186166	0.064953
-54.999995	0.144489	-54.999995	-1.044289	0.063007
-53.999995	0.149791	-53.999995	-0.880957	0.061116
-52.999995	0.154894	-52.999995	-0.712431	0.059264
-51.999995	0.141076	-51.999995	-0.548352	0.057442
-50.999995	0.135846	-50.999995	-0.393998	0.055644
-49.999995	0.115144	-49.999995	-0.253733	0.053866
-48.999995	0.062284	-48.999995	-0.149711	0.052087
-47.999995	0.032891	-47.999995	-0.085947	0.050301
-46.999995	0.026119	-46.999995	-0.042136	0.048530
-45.999995	-0.033830	-45.999995	-0.032925	0.046758
-44.999995	-0.117556	-44.999995	-0.094251	0.044949
-43.999995	-0.178879	-43.999995	-0.227391	0.043104
-42.999995	-0.216733	-42.999995	-0.409984	0.041242
-41.999995	-0.212600	-41.999995	-0.609261	0.039399
-40.999995	-0.163415	-40.999995	-0.781886	0.037616
-39.999995	-0.059444	-39.999995	-0.878889	0.035943
-38.999995	0.056805	-38.999995	-0.867633	0.034412
-37.999995	0.152077	-37.999995	-0.751556	0.033020
-36.999995	0.227714	-36.999995	-0.551013	0.031747
-35.999995	0.248025	-35.999995	-0.303833	0.030555
-34.999995	0.197636	-34.999995	-0.071421	0.029382
-33.999995	0.118057	-33.999995	0.097058	0.028180
-32.999995	0.031358	-32.999995	0.182890	0.026929
-31.999995	-0.047817	-31.999995	0.186466	0.025630
-30.999995	-0.088330	-30.999995	0.130151	0.024305
-29.999995	-0.110402	-29.999995	0.042032	0.022983
-28.999995	-0.105285	-28.999995	-0.054224	0.021686
-27.999995	-0.052251	-27.999995	-0.122019	0.020452
-26.999995	0.011588	-26.999995	-0.133230	0.019309
-25.999995	0.047596	-25.999995	-0.095071	0.018250
-24.999995	0.080917	-24.999995	-0.022248	0.017259
-23.999995	0.099494	-23.999995	0.075656	0.016328
-22.999995	0.086849	-22.999995	0.176264	0.015433
-21.999995	0.060031	-21.999995	0.257329	0.014554
-20.999995	0.024118	-20.999995	0.306963	0.013677
-19.999995	-0.015975	-19.999995	0.318741	0.012796
-18.999995	-0.045001	-18.999995	0.296121	0.011915
-17.999995	-0.057336	-17.999995	0.251908	0.011046
