gID15-M2+ML-C-15-ABBA3ave.slp
Rc (m)	SLP err rms (µrad) 	HGT err rms (nm)	PV profile (µm)	PV HGT err (nm)
-469152.084158	0.157758	1.300303	0.046457	5.423531

x (mm)	slope error (µrad)	x (mm)	HGT error (nm)	HGT  (µm)
-135.000003	-0.012686	-135.000003	-0.251824	0.038537
-134.000003	-0.095376	-134.000003	-0.336477	0.038598
-133.000003	-0.177818	-133.000003	-0.469262	0.038609
-132.000003	-0.235655	-132.000003	-0.677994	0.038542
-131.000003	-0.274494	-131.000003	-0.933465	0.038426
-130.000003	-0.294181	-130.000003	-1.218304	0.038279
-129.000003	-0.280374	-129.000003	-1.505651	0.038126
-128.000003	-0.234380	-128.000003	-1.763545	0.038001
-127.000003	-0.176768	-127.000003	-1.970135	0.037926
-126.000003	-0.113250	-126.000003	-2.116076	0.037908
-125.000003	-0.035995	-125.000003	-2.191722	0.037959
-124.000003	0.040838	-124.000003	-2.191193	0.038084
-123.000003	0.087765	-123.000003	-2.129339	0.038268
-122.000003	0.105629	-122.000003	-2.034750	0.038482
-121.000003	0.107982	-121.000003	-1.930072	0.038705
-120.000003	0.078350	-120.000003	-1.839059	0.038911
-119.000003	0.030051	-119.000003	-1.785422	0.039078
-118.000003	0.024124	-118.000003	-1.757709	0.039217
-117.000003	0.054633	-117.000003	-1.718984	0.039365
-116.000003	0.064176	-116.000003	-1.661154	0.039530
-115.000003	0.063997	-115.000003	-1.597487	0.039698
-114.000003	0.096351	-114.000003	-1.517203	0.039881
-113.000003	0.142433	-113.000003	-1.398676	0.040100
-112.000003	0.172268	-112.000003	-1.242620	0.040354
-111.000003	0.193307	-111.000003	-1.060839	0.040632
-110.000003	0.209944	-110.000003	-0.860323	0.040926
-109.000003	0.210937	-109.000003	-0.650904	0.041227
-108.000003	0.209760	-108.000003	-0.440997	0.041527
-107.000003	0.218855	-107.000003	-0.226850	0.041828
-106.000003	0.237255	-106.000003	0.000633	0.042141
-105.000003	0.244307	-105.000003	0.240446	0.042463
